kamar saya ada kendala di ac tidak berfungsi optimal . dan juga wifi koneksi kurang stabil . | (ac, tidak berfungsi optimal, negative); (wifi koneksi, kurang stabil, negative)
sangat nyaman dan murah dan betah disana . | 
serasa di rumah sendiri . | 
nyaman bersih acnya cool sangat . | (acnya, cool sangat, positive)
tempatnya nyaman , akses mudah , harga terjangkau . | (tempatnya, nyaman, positive); (akses, mudah, positive); (harga, terjangkau, positive)
fasilitasnya baik , kolamnya enak buat renang . tetapi sarapannya porsi sedikit . | (fasilitasnya, baik, positive); (kolamnya, enak, positive); (sarapannya, sedikit, negative)
kamar bersih , rapi . kamar mandi perlu perawatan extra . | (kamar, bersih, positive); (kamar, rapi, positive); (kamar mandi, perlu perawatan extra, negative)
kamar kurang bersih air susah , air panas tidak ada . | (kamar, kurang bersih, negative); (air, susah, negative); (air panas, tidak ada, negative)
sangat baik , walaupun terdiri dari lima lantai dan tangga , tidak ada lift , pelayanan sangat baik , tetapi kalau lebih dari 2 orang kena charge . | (lift, tidak ada, negative); (pelayanan, sangat baik, positive)
harga pas di kantong , kamar sudah memadai . | (kamar, memadai, positive)
untuk kamar standar dari segi kebersihan perlu ditingkatkan , mungkin karena bangunan dan interior lama jadi kesannya kurang nyaman , pelayanan cukup baik , ada snack juga , over all bagus . | (kamar, standar, neutral); (kebersihan, perlu ditingkatkan, negative); (pelayanan, cukup baik, positive); (snack, ada, positive); (over all, bagus, positive)
kurang lampu saja ini yang kurang terang . | (lampu, kurang terang, negative)
pelayanan nya benarbenar ramah , pokok nya tidak nyesal . | (pelayanan nya, benarbenar ramah, positive)
enak sih tempatnya tetapi air panas dikamat mandi nya tidak mau terus tidak ada dikasih air minum . | (tempatnya, enak, positive); (air panas, tidak mau, negative); (air minum, tidak ada dikasih, negative)
kmi sangat puass dan tidak menyesal , sesuai dengan ekspetasi yang kmi harapkan . | 
harga murah . banyak tempat wisata malam di sekitaran nya . | (harga, murah, positive)
semuanya baik , kecuali wifi lambat . | (semuanya, baik, positive); (wifi, lambat, negative)
untuk harga yang sangat terjangkau , fasilitasnya melebihi ekspektasi . kamar luas , dingin . sayangnya water heater sedang dibenarkan dan kasur agak keras . cuma untuk harga begini , sangat sangat oke ! | (harga, sangat terjangkau, positive); (fasilitasnya, melebihi ekspektasi, positive); (kamar, luas, positive); (kamar, dingin, positive); (water heater, sedang dibenarkan, negative); (kasur, agak keras, negative)
gordain kurang lebar dan bahan tipis . | (gordain, kurang lebar, negative); (gordain, tipis, negative)
keren banget hotelnya , mantaab pelayanannya . | (hotelnya, keren banget, positive); (pelayanannya, mantaab, positive)
tidak ada resepsionis , pintu kamar mandi rusak , kamar sempit . | (resepsionis, tidak ada, negative); (pintu kamar mandi, rusak, negative); (kamar, sempit, negative)
kamar iya bocor dan rembes perlu ada perbaikan . | (kamar, bocor, negative)
tempat nyaman dan strategis . | (tempat, nyaman, positive); (tempat, strategis, positive)
semuanya baik dan bagus . | (semuanya, baik, positive); (semuanya, bagus, positive)
hotelnya bersih dan nyaman , tetapi keyika masuk kamar sangat bau bekas asap rokok . | (hotelnya, bersih, positive); (hotelnya, nyaman, positive); (kamar, sangat bau, negative)
sangat kecewa , wc nya kotor banget , tidak layak pakai dan tv runyem , dan tidak ada makanan snack nya dan gaada paket sabun , samponya . | (wc nya, kotor banget, negative); (wc nya, tidak layak pakai, negative); (tv, runyem, negative); (makanan snack nya, tidak ada, negative); (paket sabun, gaada, negative); (samponya, gaada, negative)
kamar cukup bersih , makanan lumayan tetapi tidak jadi renang deh anakku karena kotor . padahal sudah semangat mau renang . | (kamar, cukup bersih, positive); (makanan, lumayan, positive)
makanan kurang variasi . kamarnya cukup lega . | (makanan, kurang variasi, negative); (kamarnya, cukup lega, positive)
tidak ada air panas nya . | (air panas nya, tidak ada, negative)
tempat yang nyaman sesuai dengan yang ada di foto . crewnya semua baik dan ramah . evaluasinya adalah keset kamar mndinya tidak terlalu menyerap air , hnduk hrsnya 2 kalau untuk kamar twin dan doble . | (tempat, nyaman, positive); (crewnya, baik, positive); (crewnya, ramah, positive); (keset kamar mndinya, tidak terlalu menyerap, negative)
lokasi kamar terpencil . | (lokasi kamar, terpencil, negative)
kamar seperti difoto , tempatnya bersih dan nyaman yang jaga juga baik . | (tempatnya, bersih, positive); (yang jaga, baik, positive)
wastafel bocor , handuk bau tidak enak ( tidak bersih ) , lemari kotor . | (wastafel, bocor, negative); (handuk, bau tidak enak, negative); (handuk, tidak bersih, negative); (lemari, kotor, negative)
hotel bersih dan nyaman . | (hotel, bersih, positive); (hotel, nyaman, positive)
sangat nyaman dan bagus . | 
semoga bisa memberikan pelayanan yang lebih baik lagi . | 
semuanya baik , saat check in jam 01.40 masih dilayani . hot water juga baik . hanya saja di tiap kamar lebih baik di sediakan petunjuk arah kiblat . | (semuanya, baik, positive); (hot water, baik, positive)
kamar nyaman , bersih , dan karyawannya ramah " dan baik " . tetapi sayang tidak kedap suara jadi agak bising karena suara kendaraan kencang . tetapi rekomen banget deh . | (kamar, nyaman, positive); (kamar, bersih, positive); (karyawannya, ramah, positive); (karyawannya, baik, positive)
nyaman bersih tenang gampang untuk menuju kota dan tempat makan . | 
tidak nyaman kamar mandi bau tidak ada gantungan baju dan lingkunganya berisik . | (kamar mandi, bau, negative); (gantungan baju, tidak ada, negative); (lingkunganya, berisik, negative)
kamar mandi agar diperbaiki . | (kamar mandi, diperbaiki, negative)
air panas kamar mandi kurang panas . | (air panas kamar mandi, kurang panas, negative)
bantal sudah tidak layak pakai . seprai kotor . kasur kurang nyaman . | (bantal, tidak layak pakai, negative); (seprai, kotor, negative); (kasur, kurang nyaman, negative)
nyaman banget . walau roomnya ada di atas . | 
lebih di perhatikan kebersihannya , terutama lantai . | (kebersihannya, lebih di perhatikan, negative); (lantai, lebih di perhatikan, negative)
air showernya kecil banget . mandinya jadi kesel . tidak dapat handuk . ada kecoak kecil dari balik tempat tidur . | (air showernya, kecil banget, negative); (handuk, tidak dapat, negative)
kamarnya berdebu bangeet , terus pintunya tidak bisa dikunci dari dalam saya panik kalau tbtb ada yang masuk . | (kamarnya, berdebu bangeet, negative); (pintunya, tidak bisa dikunci, negative)
mereka upgrade gratis kamar , terimakasih airy . | 
tempatnya nyaman , jauh dari kebisingan lalu lintas kendaraan . | (tempatnya, nyaman, positive)
setiap mau check in pasti dihotel ini , karena pelayanannya sangat baik . | (pelayanannya, sangat baik, positive)
di kamar basement sinyal hp tidak ada . | (sinyal hp, tidak ada, negative)
lokasi hotel tidak di jalan utama . di kamar tidak tersedia telepon operator . serta lebih mirip tempat kost . namun kondisi kamar bersih . free wifi juga belum ada sepertinya . | (telepon operator, tidak tersedia, negative); (kamar, bersih, positive); (wifi, belum ada, negative)
lumayan . sesuai harga murah neriah . | (harga, murah, positive)
pelayanan ramah customer pelayanan ramah . cuma bantal kecil agak bau dan selimutnya juga , pintu kamar . | (pelayanan, ramah, positive); (customer pelayanan, ramah, positive); (bantal kecil, agak bau, negative); (selimutnya, agak bau, negative)
lokasi tidak jelas karena tidak ada plang airy rooms , kamar sedikit pengap . kamar mandi oke untuk harga segitu , ac juga dingin . kebersihan lumayan . | (lokasi, tidak jelas, negative); (plang airy rooms, tidak ada, negative); (kamar, sedikit pengap, negative); (kamar mandi, oke, positive); (ac, dingin, positive); (kebersihan, lumayan, positive)
kamar nyaman , penjaga ramah , dan sopan . | (kamar, nyaman, positive); (penjaga, ramah, positive); (penjaga, sopan, positive)
kamar baik , tidak kotor dan pelayanan juga oke . | (kamar, baik, positive); (kamar, tidak kotor, positive); (pelayanan, oke, positive)
kamar seperti kos kos an , tidak ada handuk , tidak ada hot water parkir mobil sempit . | (handuk, tidak ada, negative); (hot water, tidak ada, negative); (parkir mobil, sempit, negative)
kamarnya bersih , nyaman , ac nya dingin , sarapannya juga enak . dan sangat rekomended untuk liburan . | (kamarnya, bersih, positive); (kamarnya, nyaman, positive); (ac nya, dingin, positive); (sarapannya, enak, positive)
wastafel macet . kamar kurang bersih di sela lemari banyak sawang . | (wastafel, macet, negative); (kamar, kurang bersih, negative)
hot water showernya tidak ada , brand produk airy tidak ada , snack dan tas paket alat mandi airy tidak ada , kamarnya juga tidak bersih . | (hot water showernya, tidak ada, negative); (brand produk airy, tidak ada, negative); (snack, tidak ada, negative); (tas paket alat mandi airy, tidak ada, negative); (kamarnya, tidak bersih, negative)
kamar bersih , fasilitas sesuai deskripsi . | (kamar, bersih, positive); (fasilitas, sesuai, positive)
cukup memuaskan , hanya tv yang agak mengecewakan . | (tv, agak mengecewakan, negative)
hotel lama , kunci keycard rusak dan pintu wc sehingga tidak bisa ditutup . tetapi pelayanan secara keseluruhan dari airy tetap memuaskan . terimakasih . | (hotel, lama, negative); (kunci keycard, rusak, negative); (pintu wc, rusak, negative); (pintu wc, tidak bisa ditutup, negative); (pelayanan secara keseluruhan, memuaskan, positive)
resepsionis tidak sopan . keluhan wifi tidak di respons . | (resepsionis, tidak sopan, negative)
pelayanan ramah , kamar bersih . overall good . | (pelayanan, ramah, positive); (kamar, bersih, positive); (overall, good, positive)
nyaman , pas dapat yang enak he . | 
dengan harga murah , kamar sesuai dengan harga , karyawan ramah , dengan snack dikamar lumayan buat ganjel perut sarapan , wifi lumayan buat youtube an . | (harga, murah, positive); (kamar, sesuai, positive); (karyawan, ramah, positive); (snack dikamar, lumayan, positive); (wifi, lumayan, positive)
overall is oke lah . | (overall, oke, positive)
kamar bagus , bersih , pelayanan baik , jauh dari tempat makan , selebihnya nyaman dengan harga terjangkau . | (kamar, bagus, positive); (kamar, bersih, positive); (pelayanan, baik, positive); (selebihnya, nyaman, positive); (harga, terjangkau, positive)
recomended buat refreshing dan sangat nyaman . | 
kamarnya terlalu remang remang . klosetnya juga tersumbat . | (kamarnya, terlalu remang remang, negative); (klosetnya, tersumbat, negative)
harga murah , pelayanan baik , fasilitas juga oke . | (harga, murah, positive); (pelayanan, baik, positive); (fasilitas, oke, positive)
kamar terasa pengap , addmill tidak sesuai . | (kamar, pengap, negative)
lebih membutuhkan maintenance untuk kamar mandi dan aroma ac/kamarnya . | 
bagus , toilet nya aga kotor . | (toilet nya, aga kotor, negative)
kamarnya luas , pegawainya ramahramah sekali dan sangat membantu . lokasinya juga dekat kalau mau pergi kemanakemana . sarapannya juga enak , puas sekali menginap disini . kalau ke cirebon lagi pasti bakal balik lagi inap disini . | (kamarnya, luas, positive); (pegawainya, ramahramah sekali, positive); (pegawainya, sangat membantu, positive); (sarapannya, enak, positive)
selalu senang kalau menginap disini . | 
makanannya biasa ajah . untuk harga segitu sebenarnya masih kemahalan . | (makanannya, biasa ajah, neutral)
nyaman dan menyenangkan . | 
pelayanan dari sekurity tidak baik , air kamar mandi bau . | (pelayanan, tidak baik, negative); (air kamar mandi, bau, negative)
kamar oke . wc tersumbat lebih di perhatikan lagi iya kamar nyaman banget . | (kamar, oke, positive); (wc, tersumbat, negative); (kamar, nyaman banget, positive)
kali ini saya dan suami diberi kamar yang luas dan nyaman seperti di rumah sendiri , ada balkon juga , suka pokoknya . | (kamar, luas, positive); (kamar, nyaman, positive)
saat kedatangan pertama tidak terlalu kotor seprai nya . karena nyaman bisa di toleran dan murab kami datang kembali . | (seprai nya, tidak terlalu kotor, neutral)
nyaman bersih cuma sayang tidak ada tisu toiletnya . | (tisu toiletnya, tidak ada, negative)
kelengkapan kamar sangat baik namun keramahan pegawai front office masih kurang . | (kelengkapan kamar, sangat baik, positive); (keramahan pegawai front office, kurang, negative)
toilet nya kotor . kamar mandi nya juga tidak bersih . untuk kasur dan lain lain oke . | (toilet nya, kotor, negative); (kamar mandi nya, tidak bersih, negative); (kasur, oke, positive); (lain lain, oke, positive)
good , sangat nyaman . | 
sebenarnya menyenangkan pemandangan indah , tetaoi kurang terawat dan sewaktu saya datang lantai menuju kamar masih sangat kotor . | (pemandangan, indah, positive); (lantai, sangat kotor, negative)
kamar lumayan luas . | (kamar, lumayan luas, positive)
bersama temanteman menginap di beberapa kamar dengan airy , ada handuk yang bau , lorong menuju kamar bau rokok , ada selimut yang kotor , ada bantal airy biru bau keringat , tempat makan outdoor juga tidak bebas rokok padahal banyak anak - anak , wifi oke banget . | (handuk, bau, negative); (lorong, bau rokok, negative); (selimut, kotor, negative); (bantal airy biru, bau keringat, negative); (tempat makan outdoor, tidak bebas rokok, negative); (wifi, oke banget, positive)
pelayanan ramah , hotel islami yang baik dan lokasi yang strategis . | (pelayanan, ramah, positive); (hotel, baik, positive); (lokasi, strategis, positive)
ada harga ada kualitas bagi saya kualitas sudah diatas harga . semoga bisa menginap disini lagi . | 
sudah bayar tidak jadi cek in tidak ada konfirmasi apalagi refund . | 
tempat bersih , nyaman , dan canggih . | (tempat, bersih, positive); (tempat, nyaman, positive); (tempat, canggih, positive)
hotelnya nyaman , breakfastnya variatif dan pelayanannya bagus . terimakasih airy . | (hotelnya, nyaman, positive); (breakfastnya, variatif, positive); (pelayanannya, bagus, positive)
kamar nyaman , petugas ramah cuma timingnya tidak tepat kolam renang sedang renovasi padahal itu yang kemarin di incar anakanak . | (kamar, nyaman, positive); (petugas, ramah, positive)
bersih . nyaman . ramah . dekat dengan taman safari . | 
lemari dan meja yang di dalam kamar sudah rusak , pintunya juga rusak , siaran tv nya tidak bagus . | (lemari, rusak, negative); (meja, rusak, negative); (pintunya, rusak, negative); (siaran tv nya, tidak bagus, negative)
kamar baik dan ok , dekat dengan jatimpark . | (kamar, baik, positive); (kamar, ok, positive)
kamarnya sih oke pas , cuma penjaganya lagi pms iya kok galak benar padahal cowok . | (kamarnya, oke, positive); (penjaganya, galak, negative)
petugas ramah , kamar lumayan cuma karena bangunan lama agak perlu pembenahan , toilet kurang bersih kecuali klosetnya lumayan bersih . dan kamar tanpa jendela , jadi sempit dan pengap meski ada ac . saat sarapan petugas kurang , jadi agak keteter melayani tamu . | (petugas, ramah, positive); (kamar, lumayan, neutral); (kamar, agak perlu pembenahan, negative); (toilet, kurang bersih, negative); (klosetnya, lumayan bersih, positive); (kamar, tanpa jendela, negative); (kamar, sempit, negative); (kamar, pengap, negative); (petugas, kurang, negative)
