1 | oke banget , tetapi ac nya tidak bisa diatur suhu nya . | (ac nya, tidak bisa diatur, negative)
676 | lumayan karena letaknya ditengah kota dan disediakan makanan ( breakfast ) juga . pegawai hotelnya pun ramah . tetapi untuk kamar tidak terlalu nyaman , pengap dan buat pusing . kamar mandi hotel berbunyi krietkriet sewaktu lantainya diinjak dan sedikit bau . | (makanan, disediakan, positive); (pegawai hotelnya, ramah, positive); (kamar, tidak terlalu nyaman, negative); (kamar, pengap, negative); (kamar, buat pusing, negative); (kamar mandi, berbunyi, negative); (kamar mandi, sedikit bau, negative)
677 | lumayan , tetapi air panas nya tidak hidup . | (air panas nya, tidak hidup, negative)
678 | lokasi strategis harga murah dan ada kolam renang . cukup pantas . | (lokasi, strategis, positive); (harga, murah, positive); (kolam renang, ada, positive)
679 | alhamdulillah , terimakasih banyak airy nusa dua alam bali : ) suasana yang tenang dan rindang , dipadu dengan budaya bali , sangat menentramkan hati . plus bersih , pelayanan juga ramah dan fast respons . recommended : ) . | (suasana, tenang, positive); (suasana, rindang, positive); (pelayanan, ramah, positive); (respons, fast, positive)
680 | bersih dan sangat nyaman , terima kasih efa hotel . | 
681 | terima kasih , disini sangat nyaman banget menurutku . semoga next bisa menginap lagi disini . | 
682 | terima kasih , disini sangat nyaman banget menurutku . semoga next bisa menginap lagi disini . | 
683 | layanan nya memuaskan . masukan saja kamar yang kami tempati agak bau nya kurang enak . mungkin kamar nya bisa di kasih pengharum ruanagan . | (layanan nya, memuaskan, positive); (bau nya, kurang enak, negative)
684 | lumayan enak sih dan sebenarnya dekat dari kuta kalau mau jalan kaki . | 
685 | bagus kamarnya nyaman , bersih , pelayanan ramah . cuma agak jauh iya mau kmana mana susah . masuknya dalam banget . tetapi buat yang ingin cari ketenangan cocok dehh . | (kamarnya, nyaman, positive); (kamarnya, bersih, positive); (pelayanan, ramah, positive)
686 | bagus kamarnya nyaman , bersih , pelayanan ramah . cuma agak jauh iya mau kmana mana susah . masuknya dalam banget . tetapi buat yang ingin cari ketenangan cocok dehh . | (kamarnya, nyaman, positive); (kamarnya, bersih, positive); (pelayanan, ramah, positive)
687 | tempatnya luas . suka banget . | (tempatnya, luas, positive)
688 | sangat baik . recomended untuk menginap . | 
689 | kamar mandi dan wc tidak enak . shower lepas . gantungan baju pun tidak ada . tv tabung tidak ada tv cable . kecewa banget . | (kamar mandi, tidak enak, negative); (wc, tidak enak, negative); (shower, lepas, negative); (gantungan baju, tidak ada, negative); (tv cable, tidak ada, negative)
690 | sudah sangat bagus untuk hotel yang baru , mungkin lebih di perbanyak fasilitasnya agar lebih baik lagi . | 
691 | lokasinya dekat banget sama perempatan sadang dan rsia asri , cocok ini untuk yang menunggu kerabatnya di rs buat menginap disini . | (lokasinya, dekat, positive)
692 | cukup bagus . kamar luas . | (kamar, luas, positive)
693 | over all okey cuma ac nya yang kurang dingin jadi gerah banget . | (over all, okey, positive); (ac nya, kurang dingin, negative)
694 | rekomen banget pokonya , enak , pelayanannya baik , lumayan ramah , bagus juga kamarnya . | (pelayanannya, baik, positive); (pelayanannya, lumayan ramah, positive); (kamarnya, bagus, positive)
695 | sangat menyenangkan , kamar bersih fasilitas oke banget sesuai sama digambar . | (kamar, bersih, positive); (fasilitas, oke banget, positive); (fasilitas, sesuai, positive)
696 | ternyata hotel wisata . fasilitas cukup minus pastikan gigiminus ada nyamuk agak lembab walaupun di luar ekpektasi tetapi cukup memuaskan . | (fasilitas, cukup minus, negative); (fasilitas, cukup memuaskan, positive)
697 | cukup bagus . saya kurang paham saya tidak tahu tetapi saya cari tempat sampah kok tidak ada iya . a . | (tempat sampah, tidak ada, negative)
698 | tetap ada minus dan plusnya saja . | 
699 | sangat nyaman , sangat memuaskan . | 
700 | kamarnya bersih tetapi sedikit berbau , tidak ada jendela . handle switch keran bath tub ke shower sudah rusak , jadi harus ditahan jika ingin menggunakan shower . handuk , peralatan mandi dan sanitary lengkap . dikasih cemilan dan air minum . wifi nya oke . untuk harga begini lumayan : ) . | (kamarnya, bersih, positive); (kamarnya, sedikit berbau, negative); (jendela, tidak ada, negative); (handle switch keran bath tub, rusak, negative); (handuk, lengkap, positive); (peralatan mandi, lengkap, positive); (sanitary, lengkap, positive); (wifi nya, oke, positive)
701 | cukup memuaskan dan refresentatif untuk transit . | 
702 | over all , suka banget lah menginap di sini , apalagi dapat diskon lumayan dari airy . | (over all, suka banget, positive)
703 | tempat tidur jangan terlalu dekat dengan plafon karena sulit bagi orang yang tidak biasa dengan ruang sempit susah bernapas dengan baik . | 
704 | tempat tidur jangan terlalu dekat dengan plafon karena sulit bagi orang yang tidak biasa dengan ruang sempit susah bernapas dengan baik . | 
705 | cukup nyaman hanya saja banyak orang merokok di dekat ruang resepsionis . | 
706 | pelayanan memuaskan , merek mengijinkan untuk early check in dan sangat homey , breakfast yummy . | (pelayanan, memuaskan, positive); (breakfast, yummy, positive)
707 | lumayan tetapi kamar sangatlah kecil . | (kamar, sangatlah kecil, negative)
708 | cukup nyaman kamar besar tetapi ac kurang dingin . enaknya cukup dekat kemanakemana tempat strategis . | (kamar, besar, positive); (ac, kurang dingin, negative); (tempat, strategis, positive)
709 | rekomen banget buat budget terbatas fasilitasnya semua oke . | (fasilitasnya, oke, positive)
710 | cukup puas . hanya kamar madinya sempit banget iya . tetapi cukup lah buat kembali packer an . lain lainnya puas semua . | (kamar madinya, sempit banget, negative); (lainnya, puas, positive)
711 | so far lumayan sih buat budget hotel . tetapi pelayanannya agak kurang ini , wifi tidak terhubung , terus mau bersih up room , kunci digantungin begitu saja di pintu kamar , tidak disimpen lagi di resepsionis . | (pelayanannya, agak kurang, negative); (wifi, tidak terhubung, negative)
712 | pelayanan okey . bersih , lumayan lah . | (pelayanan, okey, positive)
713 | bagus . recommended banget . | 
714 | kamarnya sangat bagus . bersih dan nyaman dan yang paling penting harganya yang sangat miring di banding hotel lainya . pokoknya mantap banget ini buat kalian yang butuh peristirahatan . | (kamarnya, sangat bagus, positive); (kamarnya, bersih, positive); (kamarnya, nyaman, positive)
715 | bagus dan cukup menarik . | 
716 | bersih banget . tetapi sayang tidak ada smoking room dan smoking area . | (smoking room, tidak ada, negative); (smoking area, tidak ada, negative)
717 | agak horor . | 
718 | dekat kemana mana , bagus , cukup nyaman . | 
719 | saya sudah beberapa kali menginap disini . so far sangat puas . | 
720 | ac tidak dingin , tidak bisa change kamar pula dan parkiran sempit hanya cukup 5 motor . cukup sekali kesini deh . | (ac, tidak dingin, negative); (parkiran, sempit, negative)
721 | lumayan , harga murah banged . | (harga, murah banged, positive)
